sec,luminance,rms_contrast,motion,edges,cuts,saturation
273,0.11407,0.13119,0.00483,0.20064,0.00000,0.28191
274,0.11278,0.13040,0.00386,0.19876,0.00000,0.28893
275,0.11228,0.12931,0.00298,0.19782,0.00000,0.28868
276,0.11212,0.12988,0.00658,0.20713,0.00000,0.28521
277,0.11385,0.13478,0.00852,0.22195,0.00000,0.27486
278,0.11383,0.13428,0.00706,0.22192,0.00000,0.27151
279,0.11448,0.13436,0.00434,0.22163,0.00000,0.27471
280,0.12428,0.14310,0.02367,0.24405,0.00000,0.27812
281,0.13786,0.15307,0.00280,0.27156,0.00000,0.27601
282,0.13764,0.15262,0.00366,0.27292,0.00000,0.27672
283,0.13516,0.15152,0.00696,0.26472,0.00000,0.27951
284,0.13684,0.15486,0.00355,0.26198,0.00000,0.28103
285,0.13584,0.15709,0.00382,0.25767,0.00000,0.28185
286,0.13634,0.15770,0.00323,0.25638,0.00000,0.28139
287,0.13770,0.15829,0.00266,0.25919,0.00000,0.27880
288,0.13825,0.15948,0.00255,0.25941,0.00000,0.27732
289,0.13884,0.16017,0.00193,0.25882,0.00000,0.27717
290,0.13970,0.16095,0.00323,0.25941,0.00000,0.27870
291,0.13892,0.15970,0.00264,0.25784,0.00000,0.27768
292,0.13674,0.15520,0.00561,0.25524,0.00000,0.27633
293,0.12154,0.14079,0.02623,0.23289,0.00000,0.28869
294,0.10386,0.12673,0.01189,0.20238,0.00000,0.30088
295,0.10217,0.12606,0.00789,0.20561,0.00000,0.30054
296,0.10019,0.12662,0.01417,0.20662,0.00000,0.30039
297,0.09991,0.12628,0.02763,0.19836,0.00000,0.30711
298,0.10497,0.12733,0.02999,0.20156,0.00000,0.32350
299,0.10773,0.13202,0.02354,0.21137,0.00000,0.32734
300,0.10788,0.13502,0.01830,0.21202,0.00000,0.32233
301,0.10985,0.13576,0.01437,0.21856,0.00000,0.31531
302,0.10958,0.13477,0.00767,0.21641,0.00000,0.31635
303,0.10757,0.13369,0.00388,0.21069,0.00000,0.31833
304,0.10629,0.13018,0.00683,0.21322,0.00000,0.32075
305,0.10728,0.13078,0.00704,0.21468,0.00000,0.31929
306,0.10490,0.13226,0.00749,0.20690,0.00000,0.32250
307,0.10705,0.13649,0.02053,0.21998,0.00000,0.30830
308,0.10564,0.13701,0.00569,0.21876,0.00000,0.30330
309,0.10646,0.13841,0.00665,0.22188,0.00000,0.30281
310,0.10429,0.13578,0.00523,0.21407,0.00000,0.29716
311,0.09927,0.13708,0.00957,0.19962,0.00000,0.29684
312,0.10376,0.14214,0.01108,0.21842,0.00000,0.30724
313,0.10468,0.14250,0.00465,0.22248,0.00000,0.31728
314,0.10586,0.14344,0.00445,0.22504,0.00000,0.31881
315,0.10769,0.14435,0.00364,0.22891,0.00000,0.30729
316,0.10660,0.14289,0.00344,0.22730,0.00000,0.30549
317,0.10044,0.13479,0.00699,0.21599,0.00000,0.31216
318,0.10145,0.13441,0.00702,0.22072,0.00000,0.31576
319,0.11607,0.14702,0.01406,0.25334,0.00000,0.30640
320,0.12480,0.15580,0.01002,0.26595,0.00000,0.29998
321,0.13091,0.15985,0.00556,0.27237,0.00000,0.29717
322,0.13013,0.15907,0.00412,0.27207,0.00000,0.29209
323,0.11325,0.13053,0.02098,0.21354,0.00000,0.29905
324,0.10818,0.12529,0.00535,0.19841,0.00000,0.29558
325,0.10778,0.12565,0.00393,0.19660,0.00000,0.29606
326,0.10726,0.12507,0.00229,0.19501,0.00000,0.29454
327,0.11543,0.13217,0.02486,0.21349,0.00000,0.29199
328,0.15744,0.17057,0.00284,0.30662,0.00000,0.26375
329,0.15882,0.17197,0.00990,0.31037,0.00000,0.26546
330,0.16069,0.17371,0.01954,0.31337,0.00000,0.27322
331,0.16125,0.17357,0.01997,0.31430,0.00000,0.27571
332,0.16149,0.17292,0.02043,0.31596,0.00000,0.28349
333,0.14763,0.14532,0.02121,0.17690,0.00000,0.23003
334,0.14887,0.14693,0.00270,0.17528,0.00000,0.22737
335,0.14549,0.14123,0.00877,0.17934,0.00000,0.23349
336,0.19806,0.19031,0.03663,0.19705,0.00000,0.26020
337,0.25299,0.23188,0.00777,0.21050,0.00000,0.26500
338,0.25416,0.23196,0.00579,0.20949,0.00000,0.26239
339,0.24872,0.20256,0.02484,0.27392,0.00000,0.23024
340,0.23566,0.18624,0.00497,0.30725,0.00000,0.22219
341,0.22352,0.18326,0.00845,0.30961,0.00000,0.22974
342,0.25834,0.19778,0.03055,0.20227,0.00000,0.24432
343,0.26714,0.20018,0.00161,0.18079,0.00000,0.24631
344,0.23387,0.18457,0.03022,0.18471,0.00000,0.24775
345,0.22889,0.18099,0.00325,0.18668,0.00000,0.24773
346,0.24914,0.19126,0.02914,0.18775,0.00000,0.24563
347,0.27157,0.20161,0.00200,0.18901,0.00000,0.24328
348,0.27297,0.20147,0.00157,0.18923,0.00000,0.24375
349,0.27229,0.20199,0.00183,0.18877,0.00000,0.24193
350,0.27101,0.20232,0.00158,0.18827,0.00000,0.24144
351,0.27197,0.20192,0.00383,0.18931,0.00000,0.24138
352,0.27377,0.20181,0.00252,0.19048,0.00000,0.24136
353,0.27343,0.21499,0.03150,0.20529,0.00000,0.24490
354,0.27682,0.24209,0.00576,0.23812,0.00000,0.24942
355,0.27629,0.24195,0.01008,0.23936,0.00000,0.24977
356,0.27927,0.24277,0.00749,0.23932,0.00000,0.24807
357,0.27547,0.24068,0.01181,0.23635,0.00000,0.25493
358,0.28138,0.23905,0.01624,0.23906,0.00000,0.25816
359,0.24972,0.20573,0.03707,0.28709,0.00000,0.23236
360,0.22460,0.18658,0.00244,0.31267,0.00000,0.22391
361,0.22433,0.18602,0.00192,0.31217,0.00000,0.22394
362,0.22315,0.18604,0.00184,0.31266,0.00000,0.22291
363,0.22154,0.18582,0.00277,0.31486,0.00000,0.22501
364,0.21411,0.18421,0.01023,0.31891,0.00000,0.22883
365,0.22389,0.18710,0.00802,0.31509,0.00000,0.21590
366,0.22975,0.18680,0.00204,0.31331,0.00000,0.21508
367,0.22785,0.18705,0.00810,0.31502,0.00000,0.21782
368,0.23220,0.19136,0.03144,0.25185,0.00000,0.22932
369,0.22713,0.18849,0.01485,0.20780,0.00000,0.23546
370,0.27156,0.22349,0.06351,0.19827,0.00000,0.21325
371,0.32098,0.26143,0.03894,0.17484,0.00000,0.17892
372,0.31882,0.25607,0.01320,0.17974,0.00000,0.18377
373,0.31826,0.25618,0.00286,0.17820,0.00000,0.18192
374,0.31622,0.25578,0.00203,0.17675,0.00000,0.18289
375,0.28097,0.24912,0.03922,0.22082,0.00000,0.21952
376,0.26536,0.24674,0.00400,0.24393,0.00000,0.23712
377,0.26933,0.24792,0.00450,0.24489,0.00000,0.23417
378,0.30641,0.25465,0.03541,0.18523,0.00000,0.19210
379,0.31768,0.25623,0.00493,0.17710,0.00000,0.18349
380,0.31515,0.25609,0.00310,0.17450,0.00000,0.18415
381,0.32675,0.19693,0.02898,0.16808,0.00000,0.24421
382,0.31730,0.19820,0.01054,0.19260,0.00000,0.24653
383,0.30186,0.19667,0.00614,0.21054,0.00000,0.25278
384,0.30704,0.19723,0.00224,0.20866,0.00000,0.24850
385,0.30322,0.20630,0.02676,0.21487,0.00000,0.24437
386,0.27696,0.25140,0.00311,0.24770,0.00000,0.23130
387,0.27624,0.25129,0.00243,0.24868,0.00000,0.23069
388,0.27572,0.25084,0.00259,0.24851,0.00000,0.23040
389,0.29270,0.25117,0.03403,0.21079,0.00000,0.21457
390,0.30685,0.25144,0.00314,0.17324,0.00000,0.19975
391,0.30605,0.25151,0.00122,0.17208,0.00000,0.19940
392,0.30639,0.25146,0.00186,0.17209,0.00000,0.19873
393,0.30575,0.25123,0.00173,0.17233,0.00000,0.19927
394,0.29781,0.25123,0.03329,0.19766,0.00000,0.20699
395,0.28106,0.25191,0.00509,0.24669,0.00000,0.22304
396,0.21416,0.18486,0.03559,0.22208,0.00000,0.23294
397,0.21998,0.18631,0.03986,0.21223,0.00000,0.22877
398,0.30532,0.25076,0.00194,0.17241,0.00000,0.19931
399,0.30534,0.25054,0.00484,0.17362,0.00000,0.20010
400,0.30486,0.25058,0.00143,0.17323,0.00000,0.19969
401,0.23748,0.19964,0.03555,0.20520,0.00000,0.22218
402,0.20346,0.17402,0.00116,0.22148,0.00000,0.23416
403,0.20316,0.17392,0.00132,0.22181,0.00000,0.23497
404,0.27564,0.20075,0.02595,0.21026,0.00000,0.26531
405,0.27583,0.20104,0.00540,0.20939,0.00000,0.26320
406,0.27631,0.20083,0.00531,0.21041,0.00000,0.26408
407,0.27861,0.20099,0.01320,0.20945,0.00000,0.27035
408,0.28392,0.20163,0.01888,0.20611,0.00000,0.26234
409,0.33646,0.23385,0.04464,0.17793,0.00000,0.19421
410,0.30600,0.25021,0.00326,0.17581,0.00000,0.19804
411,0.30296,0.24977,0.00379,0.17433,0.00000,0.19839
412,0.30411,0.24991,0.00216,0.17500,0.00000,0.19735
413,0.29853,0.26092,0.03266,0.24401,0.00000,0.21022
414,0.29783,0.26099,0.00168,0.24492,0.00000,0.21052
415,0.29816,0.26099,0.00144,0.24482,0.00000,0.21094
416,0.24316,0.21363,0.02526,0.21680,0.00000,0.22710
417,0.20143,0.17806,0.00131,0.19591,0.00000,0.23831
418,0.20073,0.17781,0.00118,0.19510,0.00000,0.23789
419,0.20029,0.17774,0.00098,0.19468,0.00000,0.23741
420,0.32295,0.26113,0.03981,0.17211,0.00000,0.17301
421,0.28405,0.26005,0.06890,0.16309,0.00000,0.17428
422,0.31002,0.28352,0.07125,0.17260,0.00000,0.15748
423,0.39808,0.25345,0.06283,0.21225,1.00000,0.14851
424,0.24049,0.20499,0.00866,0.33327,0.00000,0.22118
425,0.24059,0.20588,0.01229,0.33615,0.00000,0.22104
426,0.23994,0.20765,0.01227,0.34223,0.00000,0.22066
427,0.23769,0.20865,0.01452,0.34681,0.00000,0.21954
428,0.23409,0.20727,0.00953,0.34553,0.00000,0.21970
429,0.22932,0.20501,0.01111,0.33629,0.00000,0.22181
430,0.22534,0.20375,0.01060,0.33584,0.00000,0.22214
431,0.22266,0.20254,0.00542,0.33380,0.00000,0.22356
432,0.22026,0.20104,0.00598,0.33120,0.00000,0.22505
