sec,luminance,rms_contrast,motion,edges,cuts,saturation
266,0.41022,0.18178,0.02277,0.50671,0.00000,0.25112
267,0.41037,0.17847,0.05861,0.50665,0.00000,0.25479
268,0.40589,0.18278,0.05371,0.50713,0.00000,0.25247
269,0.38830,0.19065,0.08929,0.49154,0.00000,0.26460
270,0.38354,0.19552,0.09209,0.47794,0.00000,0.26243
271,0.40903,0.19083,0.13523,0.52242,0.00000,0.25689
272,0.43948,0.19599,0.15587,0.56472,0.00000,0.23826
273,0.48445,0.19829,0.16841,0.62721,0.00000,0.18682
274,0.47679,0.18620,0.15679,0.57634,0.00000,0.23975
275,0.48404,0.20051,0.14609,0.55965,0.00000,0.27562
276,0.44709,0.19057,0.13654,0.52516,0.00000,0.32919
277,0.42669,0.18137,0.13704,0.53917,0.00000,0.30142
278,0.42333,0.18636,0.15823,0.60804,0.00000,0.29534
279,0.42088,0.19761,0.17101,0.65292,0.00000,0.26968
280,0.40349,0.20477,0.16269,0.64929,0.00000,0.26660
281,0.37515,0.19832,0.15449,0.64217,0.00000,0.26839
282,0.35199,0.18933,0.15083,0.64376,0.00000,0.27487
283,0.35417,0.18487,0.14871,0.62529,0.00000,0.26709
284,0.33349,0.18359,0.12833,0.59088,0.00000,0.27002
285,0.32101,0.18448,0.09157,0.57759,0.00000,0.28166
286,0.31377,0.18284,0.10327,0.58036,0.00000,0.28379
287,0.30567,0.18288,0.07553,0.57600,0.00000,0.28681
288,0.30409,0.18350,0.05761,0.57911,0.00000,0.28485
289,0.27768,0.17042,0.06981,0.48768,1.00000,0.38938
290,0.26504,0.18602,0.05964,0.36866,0.00000,0.54285
291,0.28012,0.19608,0.06065,0.39968,0.00000,0.54007
292,0.31105,0.20418,0.06986,0.43141,0.00000,0.50415
293,0.33200,0.20372,0.05988,0.46461,0.00000,0.46742
294,0.34599,0.20063,0.05733,0.49989,0.00000,0.44197
295,0.42228,0.20621,0.12103,0.47039,1.00000,0.31158
296,0.45947,0.20558,0.09125,0.46138,1.00000,0.28049
297,0.42910,0.19791,0.06645,0.43088,1.00000,0.28118
298,0.37837,0.17890,0.04100,0.41510,0.00000,0.32202
299,0.38292,0.21005,0.07569,0.65660,1.00000,0.29436
300,0.38087,0.20862,0.07428,0.66825,0.00000,0.29343
301,0.40282,0.19866,0.06954,0.66885,1.00000,0.26407
302,0.40981,0.20415,0.06086,0.64495,1.00000,0.28587
303,0.43298,0.22157,0.07512,0.51746,0.00000,0.41829
304,0.43096,0.21253,0.05041,0.51737,0.00000,0.42545
305,0.43783,0.22028,0.03944,0.51826,0.00000,0.41369
306,0.44728,0.22224,0.05331,0.52168,0.00000,0.41308
307,0.44482,0.22175,0.08561,0.52352,1.00000,0.39957
308,0.56475,0.15830,0.08574,0.38687,1.00000,0.24745
309,0.45013,0.17094,0.08117,0.36817,0.00000,0.30114
310,0.39937,0.17272,0.05549,0.41314,0.00000,0.31755
311,0.38969,0.18137,0.05198,0.44076,0.00000,0.31350
312,0.40721,0.21115,0.06090,0.37030,1.00000,0.28086
313,0.40030,0.23559,0.02870,0.34876,0.00000,0.26122
314,0.38565,0.22454,0.02242,0.40047,0.00000,0.27232
315,0.40886,0.20092,0.05040,0.36264,0.00000,0.28013
316,0.42895,0.17434,0.02173,0.32836,0.00000,0.28867
317,0.42865,0.17214,0.01927,0.33009,0.00000,0.28767
318,0.42839,0.17416,0.01838,0.32647,0.00000,0.28775
319,0.43002,0.17403,0.01640,0.32562,0.00000,0.28489
320,0.35979,0.14488,0.05206,0.32063,1.00000,0.38598
321,0.35837,0.14717,0.01312,0.31928,0.00000,0.38378
322,0.37627,0.20585,0.05568,0.37261,1.00000,0.31390
323,0.38403,0.23402,0.01641,0.40081,0.00000,0.28049
324,0.41901,0.18253,0.04563,0.33923,0.00000,0.28616
325,0.42711,0.17366,0.01771,0.32556,0.00000,0.28691
326,0.42830,0.17333,0.02945,0.32737,0.00000,0.28829
327,0.42710,0.17209,0.02451,0.32218,0.00000,0.29076
328,0.48725,0.20113,0.05028,0.26867,1.00000,0.28369
329,0.54742,0.23403,0.00345,0.21391,0.00000,0.27959
330,0.33510,0.22246,0.09762,0.25871,1.00000,0.28521
331,0.23546,0.21995,0.05200,0.28992,0.00000,0.28077
332,0.21991,0.20215,0.07205,0.25731,0.00000,0.29163
